Numer pomiaru ; Numer pomiaru instancji ; Próba badawcza ; Liczba wierzcho³ków ; Czas[ms] 
26;2;1 do 10 000 000;3;0.014
26;3;1 do 10 000 000;3;0.0153
26;4;1 do 10 000 000;3;0.0215
26;5;1 do 10 000 000;3;0.0145
27;1;1 do 10;3;0.0259
27;2;1 do 10;3;0.016
27;3;1 do 10;3;0.0161
27;4;1 do 10;3;0.0158
27;5;1 do 10;3;0.0166
27;1;1 do 10 000;3;0.0136
27;2;1 do 10 000;3;0.0159
27;3;1 do 10 000;3;0.0147
27;4;1 do 10 000;3;0.014
27;5;1 do 10 000;3;0.0139
27;1;1 do 10 000 000;3;0.0136
27;2;1 do 10 000 000;3;0.0141
27;3;1 do 10 000 000;3;0.014
27;4;1 do 10 000 000;3;0.0142
27;5;1 do 10 000 000;3;0.0144
28;1;1 do 10;3;0.0199
28;2;1 do 10;3;0.0141
28;3;1 do 10;3;0.0135
28;4;1 do 10;3;0.014
28;5;1 do 10;3;0.014
28;1;1 do 10 000;3;0.0137
28;2;1 do 10 000;3;0.0133
28;3;1 do 10 000;3;0.0135
28;4;1 do 10 000;3;0.0136
28;5;1 do 10 000;3;0.0146
28;1;1 do 10 000 000;3;0.0135
28;2;1 do 10 000 000;3;0.0137
28;3;1 do 10 000 000;3;0.0136
28;4;1 do 10 000 000;3;0.0134
28;5;1 do 10 000 000;3;0.0144
29;1;1 do 10;3;0.0162
29;2;1 do 10;3;0.014
29;3;1 do 10;3;0.0133
29;4;1 do 10;3;0.014
29;5;1 do 10;3;0.0135
29;1;1 do 10 000;3;0.0133
29;2;1 do 10 000;3;0.0134
29;3;1 do 10 000;3;0.0136
29;4;1 do 10 000;3;0.0139
29;5;1 do 10 000;3;0.0136
29;1;1 do 10 000 000;3;0.0134
29;2;1 do 10 000 000;3;0.0134
29;3;1 do 10 000 000;3;0.0142
29;4;1 do 10 000 000;3;0.0134
29;5;1 do 10 000 000;3;0.0138
30;1;1 do 10;3;0.016
30;2;1 do 10;3;0.0146
30;3;1 do 10;3;0.0141
30;4;1 do 10;3;0.0298
30;5;1 do 10;3;0.0135
30;1;1 do 10 000;3;0.0131
30;2;1 do 10 000;3;0.0134
30;3;1 do 10 000;3;0.0135
30;4;1 do 10 000;3;0.0137
30;5;1 do 10 000;3;0.0134
30;1;1 do 10 000 000;3;0.0131
30;2;1 do 10 000 000;3;0.0138
30;3;1 do 10 000 000;3;0.0135
30;4;1 do 10 000 000;3;0.0132
30;5;1 do 10 000 000;3;0.0134
31;1;1 do 10;3;0.0157
31;2;1 do 10;3;0.0147
31;3;1 do 10;3;0.0138
31;4;1 do 10;3;0.0138
31;5;1 do 10;3;0.0137
31;1;1 do 10 000;3;0.014
31;2;1 do 10 000;3;0.0134
31;3;1 do 10 000;3;0.0137
31;4;1 do 10 000;3;0.0135
31;5;1 do 10 000;3;0.0133
31;1;1 do 10 000 000;3;0.0137
31;2;1 do 10 000 000;3;0.0135
31;3;1 do 10 000 000;3;0.0133
31;4;1 do 10 000 000;3;0.0137
31;5;1 do 10 000 000;3;0.0135
32;1;1 do 10;3;0.0159
32;2;1 do 10;3;0.0141
32;3;1 do 10;3;0.0136
32;4;1 do 10;3;0.0134
32;5;1 do 10;3;0.0142
32;1;1 do 10 000;3;0.0134
32;2;1 do 10 000;3;0.0139
32;3;1 do 10 000;3;0.0136
32;4;1 do 10 000;3;0.0133
32;5;1 do 10 000;3;0.0145
32;1;1 do 10 000 000;3;0.0131
32;2;1 do 10 000 000;3;0.0136
32;3;1 do 10 000 000;3;0.0136
32;4;1 do 10 000 000;3;0.0138
32;5;1 do 10 000 000;3;0.0205
33;1;1 do 10;3;0.0171
33;2;1 do 10;3;0.016
33;3;1 do 10;3;0.0149
33;4;1 do 10;3;0.0145
33;5;1 do 10;3;0.0144
33;1;1 do 10 000;3;0.0156
33;2;1 do 10 000;3;0.0145
33;3;1 do 10 000;3;0.0156
33;4;1 do 10 000;3;0.0141
33;5;1 do 10 000;3;0.0134
33;1;1 do 10 000 000;3;0.0148
33;2;1 do 10 000 000;3;0.0152
33;3;1 do 10 000 000;3;0.0162
33;4;1 do 10 000 000;3;0.0146
33;5;1 do 10 000 000;3;0.0147
34;1;1 do 10;3;0.0273
34;2;1 do 10;3;0.0257
34;3;1 do 10;3;0.0141
34;4;1 do 10;3;0.014
34;5;1 do 10;3;0.0135
34;1;1 do 10 000;3;0.0158
34;2;1 do 10 000;3;0.0176
34;3;1 do 10 000;3;0.015
34;4;1 do 10 000;3;0.0147
34;5;1 do 10 000;3;0.0135
34;1;1 do 10 000 000;3;0.0134
34;2;1 do 10 000 000;3;0.0143
34;3;1 do 10 000 000;3;0.0134
34;4;1 do 10 000 000;3;0.0135
34;5;1 do 10 000 000;3;0.015
35;1;1 do 10;3;0.0185
35;2;1 do 10;3;0.0146
35;3;1 do 10;3;0.0141
35;4;1 do 10;3;0.0142
35;5;1 do 10;3;0.0147
35;1;1 do 10 000;3;0.0136
35;2;1 do 10 000;3;0.014
35;3;1 do 10 000;3;0.0144
35;4;1 do 10 000;3;0.0167
35;5;1 do 10 000;3;0.0154
35;1;1 do 10 000 000;3;0.013
35;2;1 do 10 000 000;3;0.0133
35;3;1 do 10 000 000;3;0.0132
35;4;1 do 10 000 000;3;0.0136
35;5;1 do 10 000 000;3;0.0139
36;1;1 do 10;3;0.0158
36;2;1 do 10;3;0.0143
36;3;1 do 10;3;0.0137
36;4;1 do 10;3;0.0145
36;5;1 do 10;3;0.0137
36;1;1 do 10 000;3;0.0136
36;2;1 do 10 000;3;0.0135
36;3;1 do 10 000;3;0.0132
36;4;1 do 10 000;3;0.014
36;5;1 do 10 000;3;0.0131
36;1;1 do 10 000 000;3;0.0134
36;2;1 do 10 000 000;3;0.0135
36;3;1 do 10 000 000;3;0.0141
36;4;1 do 10 000 000;3;0.0132
36;5;1 do 10 000 000;3;0.0211
37;1;1 do 10;3;0.0159
37;2;1 do 10;3;0.0145
37;3;1 do 10;3;0.0142
37;4;1 do 10;3;0.0141
37;5;1 do 10;3;0.0135
37;1;1 do 10 000;3;0.0132
37;2;1 do 10 000;3;0.0137
37;3;1 do 10 000;3;0.0135
37;4;1 do 10 000;3;0.0133
37;5;1 do 10 000;3;0.0136
37;1;1 do 10 000 000;3;0.0139
37;2;1 do 10 000 000;3;0.0143
37;3;1 do 10 000 000;3;0.0136
37;4;1 do 10 000 000;3;0.0136
37;5;1 do 10 000 000;3;0.0134
38;1;1 do 10;3;0.0157
38;2;1 do 10;3;0.0141
38;3;1 do 10;3;0.0135
38;4;1 do 10;3;0.0135
38;5;1 do 10;3;0.0133
38;1;1 do 10 000;3;0.0137
38;2;1 do 10 000;3;0.0138
38;3;1 do 10 000;3;0.0136
38;4;1 do 10 000;3;0.0136
38;5;1 do 10 000;3;0.0134
