Numer pomiaru ; Numer pomiaru instancji ; Próba badawcza ; Liczba wierzcho³ków ; Czas[ms] 
48;1;1 do 10;3;0.0426
48;1;1 do 10 000;3;0.0733
48;1;1 do 10 000 000;3;0.0347
49;1;1 do 10;3;0.0363
49;1;1 do 10 000;3;0.0439
49;1;1 do 10 000 000;3;0.0564
50;1;1 do 10;3;0.0391
50;1;1 do 10 000;3;0.0306
50;1;1 do 10 000 000;3;0.0419
51;1;1 do 10;3;0.0221
51;1;1 do 10 000;3;0.0265
51;1;1 do 10 000 000;3;0.026
52;1;1 do 10;3;0.0405
52;1;1 do 10 000;3;0.0272
52;1;1 do 10 000 000;3;0.028
53;1;1 do 10;3;0.0271
53;1;1 do 10 000;3;0.0396
53;1;1 do 10 000 000;3;0.0274
54;1;1 do 10;3;0.0341
54;1;1 do 10 000;3;0.0431
54;1;1 do 10 000 000;3;0.0296
55;1;1 do 10;3;0.0328
55;1;1 do 10 000;3;0.0346
55;1;1 do 10 000 000;3;0.0324
56;1;1 do 10;3;0.0248
56;1;1 do 10 000;3;0.1168
56;1;1 do 10 000 000;3;0.0331
57;1;1 do 10;3;0.038
57;1;1 do 10 000;3;0.0453
57;1;1 do 10 000 000;3;0.0269
58;1;1 do 10;3;0.0326
58;1;1 do 10 000;3;0.0291
58;1;1 do 10 000 000;3;0.03
59;1;1 do 10;3;0.0419
59;1;1 do 10 000;3;0.0418
59;1;1 do 10 000 000;3;0.0555
60;1;1 do 10;3;0.0392
60;1;1 do 10 000;3;0.0596
60;1;1 do 10 000 000;3;0.0444
61;1;1 do 10;3;0.0323
61;1;1 do 10 000;3;0.0295
61;1;1 do 10 000 000;3;0.0883
62;1;1 do 10;3;0.0343
62;1;1 do 10 000;3;0.0721
62;1;1 do 10 000 000;3;0.0285
63;1;1 do 10;3;0.0412
63;1;1 do 10 000;3;0.0341
63;1;1 do 10 000 000;3;0.0346
64;1;1 do 10;3;0.0283
64;1;1 do 10 000;3;0.0292
64;1;1 do 10 000 000;3;0.0349
65;1;1 do 10;3;0.0301
65;1;1 do 10 000;3;0.0178
65;1;1 do 10 000 000;3;0.0278
66;1;1 do 10;3;0.069
66;1;1 do 10 000;3;0.0319
66;1;1 do 10 000 000;3;0.0263
67;1;1 do 10;3;0.0521
67;1;1 do 10 000;3;0.0833
67;1;1 do 10 000 000;3;0.0287
68;1;1 do 10;3;0.0319
68;1;1 do 10 000;3;0.0342
68;1;1 do 10 000 000;3;0.0386
69;1;1 do 10;3;0.0381
69;1;1 do 10 000;3;0.0282
69;1;1 do 10 000 000;3;0.0282
70;1;1 do 10;3;0.0369
70;1;1 do 10 000;3;0.0275
70;1;1 do 10 000 000;3;0.0296
71;1;1 do 10;3;0.0348
71;1;1 do 10 000;3;0.0309
71;1;1 do 10 000 000;3;0.0273
72;1;1 do 10;3;0.0326
72;1;1 do 10 000;3;0.0362
72;1;1 do 10 000 000;3;0.0291
73;1;1 do 10;3;0.0312
73;1;1 do 10 000;3;0.0324
73;1;1 do 10 000 000;3;0.0269
74;1;1 do 10;3;0.049
74;1;1 do 10 000;3;0.028
74;1;1 do 10 000 000;3;0.0246
75;1;1 do 10;3;0.0317
75;1;1 do 10 000;3;0.0262
75;1;1 do 10 000 000;3;0.0281
76;1;1 do 10;3;0.0329
76;1;1 do 10 000;3;0.0248
76;1;1 do 10 000 000;3;0.0257
77;1;1 do 10;3;0.0324
77;1;1 do 10 000;3;0.0326
77;1;1 do 10 000 000;3;0.0257
78;1;1 do 10;3;0.0303
78;1;1 do 10 000;3;0.0246
78;1;1 do 10 000 000;3;0.0276
79;1;1 do 10;3;0.0244
79;1;1 do 10 000;3;0.022
79;1;1 do 10 000 000;3;0.0258
80;1;1 do 10;3;0.0351
80;1;1 do 10 000;3;0.0315
80;1;1 do 10 000 000;3;0.0273
81;1;1 do 10;3;0.0268
81;1;1 do 10 000;3;0.0263
81;1;1 do 10 000 000;3;0.0303
82;1;1 do 10;3;0.0264
82;1;1 do 10 000;3;0.0602
82;1;1 do 10 000 000;3;0.0291
83;1;1 do 10;3;0.0269
83;1;1 do 10 000;3;0.0268
83;1;1 do 10 000 000;3;0.0245
84;1;1 do 10;3;0.0186
84;1;1 do 10 000;3;0.0242
84;1;1 do 10 000 000;3;0.0279
85;1;1 do 10;3;0.0255
85;1;1 do 10 000;3;0.0248
85;1;1 do 10 000 000;3;0.0257
86;1;1 do 10;3;0.0398
86;1;1 do 10 000;3;0.025
86;1;1 do 10 000 000;3;0.0265
87;1;1 do 10;3;0.0272
87;1;1 do 10 000;3;0.0258
87;1;1 do 10 000 000;3;0.0263
88;1;1 do 10;3;0.0173
88;1;1 do 10 000;3;0.0286
88;1;1 do 10 000 000;3;0.0265
89;1;1 do 10;3;0.0167
89;1;1 do 10 000;3;0.0243
89;1;1 do 10 000 000;3;0.0255
90;1;1 do 10;3;0.0163
90;1;1 do 10 000;3;0.0264
90;1;1 do 10 000 000;3;0.026
91;1;1 do 10;3;0.0176
91;1;1 do 10 000;3;0.0255
91;1;1 do 10 000 000;3;0.0242
92;1;1 do 10;3;0.0197
92;1;1 do 10 000;3;0.0392
92;1;1 do 10 000 000;3;0.0275
93;1;1 do 10;3;0.0283
93;1;1 do 10 000;3;0.0276
93;1;1 do 10 000 000;3;0.0272
94;1;1 do 10;3;0.0196
94;1;1 do 10 000;3;0.0256
94;1;1 do 10 000 000;3;0.0325
95;1;1 do 10;3;0.0277
95;1;1 do 10 000;3;0.0272
95;1;1 do 10 000 000;3;0.0166
96;1;1 do 10;3;0.0174
96;1;1 do 10 000;3;0.0276
96;1;1 do 10 000 000;3;0.018
97;1;1 do 10;3;0.0286
97;1;1 do 10 000;3;0.1333
97;1;1 do 10 000 000;3;0.0266
98;1;1 do 10;3;0.034
98;1;1 do 10 000;3;0.0327
98;1;1 do 10 000 000;3;0.0272
99;1;1 do 10;3;0.0423
99;1;1 do 10 000;3;0.027
99;1;1 do 10 000 000;3;0.029
100;1;1 do 10;3;0.0262
100;1;1 do 10 000;3;0.0264
100;1;1 do 10 000 000;3;0.0257
1;1;1 do 10;4;0.0494
1;1;1 do 10 000;4;0.0416
1;1;1 do 10 000 000;4;0.0456
2;1;1 do 10;4;0.0306
2;1;1 do 10 000;4;0.0728
2;1;1 do 10 000 000;4;0.042
3;1;1 do 10;4;0.051
3;1;1 do 10 000;4;0.0391
3;1;1 do 10 000 000;4;0.0475
4;1;1 do 10;4;0.0471
4;1;1 do 10 000;4;0.0391
4;1;1 do 10 000 000;4;0.049
5;1;1 do 10;4;0.0319
5;1;1 do 10 000;4;0.0472
5;1;1 do 10 000 000;4;0.0435
6;1;1 do 10;4;0.0494
6;1;1 do 10 000;4;0.0402
6;1;1 do 10 000 000;4;0.0472
7;1;1 do 10;4;0.054
7;1;1 do 10 000;4;0.0428
7;1;1 do 10 000 000;4;0.0283
8;1;1 do 10;4;0.0317
8;1;1 do 10 000;4;0.0488
8;1;1 do 10 000 000;4;0.035
9;1;1 do 10;4;0.0722
9;1;1 do 10 000;4;0.045
9;1;1 do 10 000 000;4;0.0436
10;1;1 do 10;4;0.0267
10;1;1 do 10 000;4;0.0375
10;1;1 do 10 000 000;4;0.041
11;1;1 do 10;4;0.0274
11;1;1 do 10 000;4;0.0339
11;1;1 do 10 000 000;4;0.0245
12;1;1 do 10;4;0.0261
12;1;1 do 10 000;4;0.0447
12;1;1 do 10 000 000;4;0.0364
13;1;1 do 10;4;0.0265
13;1;1 do 10 000;4;0.043
13;1;1 do 10 000 000;4;0.0606
14;1;1 do 10;4;0.0442
14;1;1 do 10 000;4;0.0474
14;1;1 do 10 000 000;4;0.0447
15;1;1 do 10;4;0.0319
15;1;1 do 10 000;4;0.0457
15;1;1 do 10 000 000;4;0.035
16;1;1 do 10;4;0.0273
16;1;1 do 10 000;4;0.0414
16;1;1 do 10 000 000;4;0.0475
17;1;1 do 10;4;0.0256
17;1;1 do 10 000;4;0.0292
17;1;1 do 10 000 000;4;0.0424
18;1;1 do 10;4;0.0261
